player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name
5308,Cédric,Carrasso,Cédric Carrasso,2017,141,cedric-carrasso,France,Avignon,France,1981-12-30,Goalkeeper,Goalkeeper,right,187,,10000000,,null,https://img.a.transfermarkt.technology/portrait/header/5308-1509024508.jpg?lm=1,https://www.transfermarkt.co.uk/cedric-carrasso/profil/spieler/5308,TR1,Galatasaray
5309,Damien,Grégorini,Damien Grégorini,2012,1159,damien-gregorini,France,Nice,France,1979-03-02,Goalkeeper,Goalkeeper,right,194,,2750000,,null,https://img.a.transfermarkt.technology/portrait/header/s_5309_1159_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/damien-gregorini/profil/spieler/5309,FR1,null
5474,Zoumana,Camara,Zoumana Camara,2014,583,zoumana-camara,France,Colombes,France,1979-04-03,Centre-Back,Defender,right,182,,6000000,,SVF FOOT,https://img.a.transfermarkt.technology/portrait/header/s_5474_583_2013_10_24_1.jpg?lm=1,https://www.transfermarkt.co.uk/zoumana-camara/profil/spieler/5474,FR1,Paris Saint-Germain
5544,Johan,Audel,Johan Audel,2015,995,johan-audel,France,Nizza,Martinique,1983-12-12,Left Winger,Attack,,,,3500000,,WSP Agency,https://img.a.transfermarkt.technology/portrait/header/s_5544_79_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/johan-audel/profil/spieler/5544,FR1,FC Nantes
5668,Anthony,Réveillère,Anthony Réveillère,2014,289,anthony-reveillere,France,Doué-la-Fontaine,France,1979-11-10,Right-Back,Defender,right,180,,8500000,,null,https://img.a.transfermarkt.technology/portrait/header/s_5668_1041_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/anthony-reveillere/profil/spieler/5668,GB1,null
5825,Marco,Borriello,Marco Borriello,2017,1390,marco-borriello,Italy,Napoli,Italy,1982-06-18,Centre-Forward,Attack,left,186,,18500000,,null,https://img.a.transfermarkt.technology/portrait/header/5825-1455533007.jpg?lm=1,https://www.transfermarkt.co.uk/marco-borriello/profil/spieler/5825,IT1,null
5890,Sergio,Almirón,Sergio Almirón,2013,1627,sergio-almiron,Argentina,Santa Fé,Argentina,1980-11-07,Central Midfield,Midfield,right,180,,11000000,,null,https://img.a.transfermarkt.technology/portrait/header/s_5890_1627_2013_09_20_1.jpg?lm=1,https://www.transfermarkt.co.uk/sergio-almiron/profil/spieler/5890,IT1,null
5896,David,Pizarro,David Pizarro,2014,430,david-pizarro,Chile,Valparaíso,Chile,1979-09-11,Central Midfield,Midfield,right,168,,15000000,,null,https://img.a.transfermarkt.technology/portrait/header/s_5896_430_2013_03_12_1.jpg?lm=1,https://www.transfermarkt.co.uk/david-pizarro/profil/spieler/5896,IT1,ACF Fiorentina
5936,Ivan,Pelizzoli,Ivan Pelizzoli,2012,2921,ivan-pelizzoli,Italy,Bergamo,Italy,1980-11-18,Goalkeeper,Goalkeeper,right,197,,8000000,,null,https://img.a.transfermarkt.technology/portrait/header/5936-1488542455.jpg?lm=1,https://www.transfermarkt.co.uk/ivan-pelizzoli/profil/spieler/5936,IT1,null
6012,Stefano,Lucchini,Stefano Lucchini,2014,1429,stefano-lucchini,Italy,Codogno,Italy,1980-10-02,Centre-Back,Defender,right,186,,4300000,,TMP SOCCER srl ,https://img.a.transfermarkt.technology/portrait/header/6012-1475746508.jpg?lm=1,https://www.transfermarkt.co.uk/stefano-lucchini/profil/spieler/6012,IT1,null
6076,David,Di Michele,David Di Michele,2012,862,david-di-michele,Italy,Guidonia Montecelio,Italy,1976-01-06,Centre-Forward,Attack,both,170,,7500000,,Danilo Caravello,https://img.a.transfermarkt.technology/portrait/header/6076-1442486193.jpg?lm=1,https://www.transfermarkt.co.uk/david-di-michele/profil/spieler/6076,IT1,null
6717,Giuseppe,Colucci,Giuseppe Colucci,2012,2921,giuseppe-colucci,Italy,San Giovanni Rotondo,Italy,1980-08-24,Central Midfield,Midfield,right,180,,3250000,,null,https://img.a.transfermarkt.technology/portrait/header/s_6717_1386_2013_09_21_1.jpg?lm=1,https://www.transfermarkt.co.uk/giuseppe-colucci/profil/spieler/6717,IT1,null
6838,Henok,Goitom,Henok Goitom,2015,3709,henok-goitom,Sweden,Solna,Eritrea,1984-09-22,Centre-Forward,Attack,right,189,,3200000,,null,https://img.a.transfermarkt.technology/portrait/header/6838-1476302936.jpg?lm=1,https://www.transfermarkt.co.uk/henok-goitom/profil/spieler/6838,ES1,Getafe CF
7109,Andrea,Barzagli,Andrea Barzagli,2018,506,andrea-barzagli,Italy,Fiesole,Italy,1981-05-08,Centre-Back,Defender,right,187,,14500000,,null,https://img.a.transfermarkt.technology/portrait/header/7109-1416219029.jpg?lm=1,https://www.transfermarkt.co.uk/andrea-barzagli/profil/spieler/7109,IT1,Juventus FC
7237,Sabri,Sarioglu,Sabri Sarioglu,2017,1467,sabri-sarioglu,Turkey,Samsun,Turkey,1984-07-26,Right-Back,Defender,right,170,,6500000,,null,https://img.a.transfermarkt.technology/portrait/header/7237-1595580698.jpg?lm=1,https://www.transfermarkt.co.uk/sabri-sarioglu/profil/spieler/7237,TR1,null
7337,Alan,Tate,Alan Tate,2014,2288,alan-tate,England,Easington,England,1982-09-02,Centre-Back,Defender,right,185,,1000000,,null,https://img.a.transfermarkt.technology/portrait/header/7337-1649239791.jpg?lm=1,https://www.transfermarkt.co.uk/alan-tate/profil/spieler/7337,GB1,null
7423,Ömer,Erdogan,Ömer Erdogan,2012,20,omer-erdogan,Germany,Kassel,Turkey,1977-05-03,Centre-Back,Defender,right,191,,2700000,,null,https://img.a.transfermarkt.technology/portrait/header/s_7423_20_2013_03_22_1.jpg?lm=1,https://www.transfermarkt.co.uk/omer-erdogan/profil/spieler/7423,TR1,null
7985,David,Generelo,David Generelo,2013,1531,david-generelo,Spain,Badajoz,Spain,1982-08-11,Central Midfield,Midfield,right,181,,2500000,,IFM,https://img.a.transfermarkt.technology/portrait/header/s_7985_1531_2013_10_17_1.jpg?lm=1,https://www.transfermarkt.co.uk/david-generelo/profil/spieler/7985,ES1,Elche CF
8187,Juanmi,Callejón,Juanmi Callejón,2012,2672,juanmi-callejon,Spain,Motril,Spain,1987-02-11,Left Winger,Attack,right,180,200000,1000000,2023-06-30 00:00:00,null,https://img.a.transfermarkt.technology/portrait/header/8187-1484588810.jpg?lm=1,https://www.transfermarkt.co.uk/juanmi-callejon/profil/spieler/8187,GR1,APO Levadiakos
8538,Tiago,Mendes,Tiago Mendes,2016,13,tiago-mendes,Portugal,Viana do Castelo,Portugal,1981-05-02,Central Midfield,Midfield,right,183,,15000000,,Gestifute,https://img.a.transfermarkt.technology/portrait/header/8538-1447152957.jpg?lm=1,https://www.transfermarkt.co.uk/tiago-mendes/profil/spieler/8538,ES1,Atlético de Madrid
9354,Sejad,Salihovic,Sejad Salihovic,2017,41,sejad-salihovic,Jugoslawien (SFR),Gornji Šepak,Bosnia-Herzegovina,1984-10-08,Central Midfield,Midfield,left,182,,7500000,,TDS SPORTS,https://img.a.transfermarkt.technology/portrait/header/9354-1615916947.jpg?lm=1,https://www.transfermarkt.co.uk/sejad-salihovic/profil/spieler/9354,L1,null
9506,Craig,Beattie,Craig Beattie,2012,2578,craig-beattie,Scotland,Glasgow,Scotland,1984-01-16,Centre-Forward,Attack,right,183,,2250000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/craig-beattie/profil/spieler/9506,SC1,St. Johnstone FC
9604,Sherjill,MacDonald,Sherjill MacDonald,2014,968,sherjill-macdonald,Netherlands,Groningen,Netherlands,1984-11-20,Centre-Forward,Attack,right,183,,2000000,2023-06-30 00:00:00,null,https://img.a.transfermarkt.technology/portrait/header/9604-1617111130.jpg?lm=1,https://www.transfermarkt.co.uk/sherjill-macdonald/profil/spieler/9604,BE1,KVC Westerlo
9667,Stijn,Stijnen,Stijn Stijnen,2012,566,stijn-stijnen,Belgium,Hasselt,Belgium,1981-04-07,Goalkeeper,Goalkeeper,right,188,,4500000,,null,https://img.a.transfermarkt.technology/portrait/header/9667-1537874332.jpg?lm=1,https://www.transfermarkt.co.uk/stijn-stijnen/profil/spieler/9667,BE1,null
9798,Maksim,Shatskikh,Maksim Shatskikh,2014,6996,maksim-shatskikh,UdSSR,Tashkent,Uzbekistan,1978-08-30,Centre-Forward,Attack,right,187,,4000000,,null,https://img.a.transfermarkt.technology/portrait/header/9798-1636358395.png?lm=1,https://www.transfermarkt.co.uk/maksim-shatskikh/profil/spieler/9798,UKR1,null
9980,Rob,Hulse,Rob Hulse,2012,1039,rob-hulse,England,Crewe,England,1979-10-25,Centre-Forward,Attack,right,185,,3750000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/rob-hulse/profil/spieler/9980,GB1,null
10003,Wes,Morgan,Wes Morgan,2020,1003,wes-morgan,England,Nottingham,Jamaica,1984-01-21,Centre-Back,Defender,right,185,,3500000,,null,https://img.a.transfermarkt.technology/portrait/header/10003-1405438663.jpg?lm=1,https://www.transfermarkt.co.uk/wes-morgan/profil/spieler/10003,GB1,Leicester City
10183,Dani,Fernández,Dani Fernández,2014,653,dani-fernandez,Spain,Barcelona,Spain,1983-01-20,Right-Back,Defender,right,181,,1500000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/dani-fernandez/profil/spieler/10183,GR1,OFI Crete FC
10244,Bernt,Evens,Bernt Evens,2012,520,bernt-evens,Belgium,Neerpelt,Belgium,1978-11-09,Left-Back,Defender,left,189,,700000,,null,https://img.a.transfermarkt.technology/portrait/header/10244-1616774057.jpg?lm=1,https://www.transfermarkt.co.uk/bernt-evens/profil/spieler/10244,BE1,Cercle Brugge
10471,,Luiz Gustavo,Luiz Gustavo,2021,36,luiz-gustavo,Brazil,Pindamonhangaba,Brazil,1987-07-23,Defensive Midfield,Midfield,left,187,1000000,22000000,2023-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/10471-1566826643.jpg?lm=1,https://www.transfermarkt.co.uk/luiz-gustavo/profil/spieler/10471,TR1,Fenerbahce
10598,Mehdi,Taouil,Mehdi Taouil,2015,2381,mehdi-taouil,France,Villeneuve-Saint-Georges,Morocco,1983-05-20,Attacking Midfield,Midfield,,,,700000,,null,https://img.a.transfermarkt.technology/portrait/header/10598-1444744494.jpg?lm=1,https://www.transfermarkt.co.uk/mehdi-taouil/profil/spieler/10598,TR1,Sivasspor
12515,Guirane,N'Daw,Guirane N'Daw,2014,347,guirane-ndaw,Senegal,Rufisque,Senegal,1984-04-24,Defensive Midfield,Midfield,left,189,,4000000,,null,https://img.a.transfermarkt.technology/portrait/header/12515-1683889014.jpg?lm=1,https://www.transfermarkt.co.uk/guirane-ndaw/profil/spieler/12515,FR1,null
12597,Alan,Maybury,Alan Maybury,2012,903,alan-maybury,Ireland,Dublin,Ireland,1978-08-08,Right-Back,Defender,right,180,,800000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/alan-maybury/profil/spieler/12597,SC1,Hibernian FC
12709,Danny,Gabbidon,Danny Gabbidon,2013,873,danny-gabbidon,Wales,Cwmbran,Wales,1979-08-08,Centre-Back,Defender,right,178,,2000000,,null,https://img.a.transfermarkt.technology/portrait/header/s_12709_379_2009_1.jpg?lm=1,https://www.transfermarkt.co.uk/danny-gabbidon/profil/spieler/12709,GB1,Crystal Palace
12765,Russell,Anderson,Russell Anderson,2014,370,russell-anderson,Scotland,Aberdeen,Scotland,1978-10-25,Centre-Back,Defender,right,186,,1500000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/russell-anderson/profil/spieler/12765,SC1,Aberdeen FC
12813,Barry,Smith,Barry Smith,2012,511,barry-smith,Scotland,Paisley,Scotland,1974-02-19,Right-Back,Defender,right,178,,500000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/barry-smith/profil/spieler/12813,SC1,null
12988,Stelios,Sfakianakis,Stelios Sfakianakis,2013,6418,stelios-sfakianakis,Germany,Hagen,Greece,1976-03-19,Central Midfield,Midfield,left,177,,750000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/stelios-sfakianakis/profil/spieler/12988,GR1,Panetolikos GFS
13047,Daniel,Cruz,Daniel Cruz,2012,28643,daniel-cruz,Colombia,Santiago de Cali,Colombia,1981-05-09,Attacking Midfield,Midfield,right,181,,2200000,,null,https://img.a.transfermarkt.technology/portrait/header/13047-1616771397.jpg?lm=1,https://www.transfermarkt.co.uk/daniel-cruz/profil/spieler/13047,BE1,null
13061,Carl,Hoefkens,Carl Hoefkens,2014,2861,carl-hoefkens,Belgium,Lier,Belgium,1978-10-06,Right-Back,Defender,right,185,,2500000,,null,https://img.a.transfermarkt.technology/portrait/header/13061-1537873933.jpg?lm=1,https://www.transfermarkt.co.uk/carl-hoefkens/profil/spieler/13061,BE1,KV Oostende
13103,Björn,Vleminckx,Björn Vleminckx,2017,1096,bjorn-vleminckx,Belgium,Boom,Belgium,1985-12-01,Centre-Forward,Attack,right,183,,4000000,,null,https://img.a.transfermarkt.technology/portrait/header/13103-1487692952.jpg?lm=1,https://www.transfermarkt.co.uk/bjorn-vleminckx/profil/spieler/13103,BE1,Royal Antwerp FC
13283,Bram,Castro,Bram Castro,2020,2861,bram-castro,Belgium,Hasselt,Belgium,1982-09-30,Goalkeeper,Goalkeeper,right,191,,1000000,,null,https://img.a.transfermarkt.technology/portrait/header/13283-1418933379.jpg?lm=1,https://www.transfermarkt.co.uk/bram-castro/profil/spieler/13283,BE1,KV Oostende
13350,Lewis,Price,Lewis Price,2014,873,lewis-price,England,Bournemouth,Wales,1984-07-19,Goalkeeper,Goalkeeper,right,191,,700000,,null,https://img.a.transfermarkt.technology/portrait/header/s_13350_873_2013_02_06_1.jpg?lm=1,https://www.transfermarkt.co.uk/lewis-price/profil/spieler/13350,GB1,Crystal Palace
13427,Steve,Sidwell,Steve Sidwell,2017,1237,steve-sidwell,England,London,England,1982-12-14,Central Midfield,Midfield,right,183,,5500000,,null,https://img.a.transfermarkt.technology/portrait/header/13427-1496840217.jpg?lm=1,https://www.transfermarkt.co.uk/steve-sidwell/profil/spieler/13427,GB1,Brighton & Hove Albion
13445,Jurgen,Cavens,Jurgen Cavens,2012,28643,jurgen-cavens,Belgium,Broechem,Belgium,1978-08-19,Centre-Forward,Attack,right,187,,800000,,null,https://img.a.transfermarkt.technology/portrait/header/13445-1537884867.jpg?lm=1,https://www.transfermarkt.co.uk/jurgen-cavens/profil/spieler/13445,BE1,null
13573,Simon,Francis,Simon Francis,2019,989,simon-francis,England,Nottingham,England,1985-02-16,Right-Back,Defender,right,191,,2500000,,null,https://img.a.transfermarkt.technology/portrait/header/13573-1445429827.jpg?lm=1,https://www.transfermarkt.co.uk/simon-francis/profil/spieler/13573,GB1,AFC Bournemouth
14013,Matty,Fryatt,Matty Fryatt,2013,3008,matty-fryatt,England,Nuneaton,England,1986-03-05,Centre-Forward,Attack,right,178,,3500000,,Kick & Law,https://img.a.transfermarkt.technology/portrait/header/s_14013_3008_2013_08_16_1.jpg?lm=1,https://www.transfermarkt.co.uk/matty-fryatt/profil/spieler/14013,GB1,null
14149,,Pitbull,Pitbull,2013,2424,pitbull,Brazil,Porto Alegre,Brazil,1982-01-08,Centre-Forward,Attack,right,173,,2100000,,null,https://img.a.transfermarkt.technology/portrait/header/s_14149_10010_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/pitbull/profil/spieler/14149,PO1,Gil Vicente FC
14279,,Castro,Castro,2012,979,castro,Portugal,Fafe,Portugal,1979-06-03,Defensive Midfield,Midfield,right,183,,900000,,null,https://img.a.transfermarkt.technology/portrait/header/s_14279_979_2010_1.jpg?lm=1,https://www.transfermarkt.co.uk/castro/profil/spieler/14279,PO1,null
14574,Craig,Conway,Craig Conway,2020,2578,craig-conway,Scotland,Irvine,Scotland,1985-05-02,Attacking Midfield,Midfield,right,171,,1500000,,null,https://img.a.transfermarkt.technology/portrait/header/s_14574_603_2013_04_17_1.jpg?lm=1,https://www.transfermarkt.co.uk/craig-conway/profil/spieler/14574,SC1,St. Johnstone FC
14856,Andreas,Ottl,Andreas Ottl,2013,167,andreas-ottl,Germany,München,Germany,1985-03-01,Defensive Midfield,Midfield,,,,2500000,,null,https://img.a.transfermarkt.technology/portrait/header/s_14856_167_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/andreas-ottl/profil/spieler/14856,L1,FC Augsburg
14937,Stipe,Pletikosa,Stipe Pletikosa,2015,897,stipe-pletikosa,Jugoslawien (SFR),Split,Croatia,1979-01-08,Goalkeeper,Goalkeeper,right,193,,6800000,,null,https://img.a.transfermarkt.technology/portrait/header/s_14937_1083_2014_01_06_1.jpg?lm=1,https://www.transfermarkt.co.uk/stipe-pletikosa/profil/spieler/14937,ES1,null
15018,,João Carlos,João Carlos,2016,498,joao-carlos,Brazil,Realengo,Brazil,1982-01-01,Centre-Back,Defender,both,189,,4000000,,null,https://img.a.transfermarkt.technology/portrait/header/s_15018_232_2014_02_02_1.jpg?lm=1,https://www.transfermarkt.co.uk/joao-carlos/profil/spieler/15018,BE1,null
15076,Aleksandr,Samedov,Aleksandr Samedov,2018,2696,aleksandr-samedov,UdSSR,Moskau,Russia,1984-07-19,Right Winger,Attack,right,178,,10000000,,null,https://img.a.transfermarkt.technology/portrait/header/15076-1551714818.png?lm=1,https://www.transfermarkt.co.uk/aleksandr-samedov/profil/spieler/15076,RU1,Krylya Sovetov Samara
15500,Ángel,López,Ángel López,2015,472,angel-lopez,Spain,Las Palmas de Gran Canaria,Spain,1981-03-10,Right-Back,Defender,right,180,,6000000,,null,https://img.a.transfermarkt.technology/portrait/header/15500-1447321638.jpg?lm=1,https://www.transfermarkt.co.uk/angel-lopez/profil/spieler/15500,ES1,null
16252,Christian,Kinkela,Christian Kinkela,2012,979,christian-kinkela,Zaire,Kinshasa,DR Congo,1982-05-25,Right Midfield,Midfield,right,178,,1000000,,null,https://img.a.transfermarkt.technology/portrait/header/s_16252_1175_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/christian-kinkela/profil/spieler/16252,PO1,null
16408,Orestis,Karnezis,Orestis Karnezis,2021,1082,orestis-karnezis,Greece,Athen,Greece,1985-07-11,Goalkeeper,Goalkeeper,right,190,,5000000,,null,https://img.a.transfermarkt.technology/portrait/header/16408-1595851100.jpg?lm=1,https://www.transfermarkt.co.uk/orestis-karnezis/profil/spieler/16408,FR1,LOSC Lille
16498,Ramazan,Özcan,Ramazan Özcan,2019,15,ramazan-ozcan,Austria,Hohenems,Austria,1984-06-28,Goalkeeper,Goalkeeper,left,185,,1250000,,Soccer-Concept AG,https://img.a.transfermarkt.technology/portrait/header/16498-1473755179.JPG?lm=1,https://www.transfermarkt.co.uk/ramazan-ozcan/profil/spieler/16498,L1,Bayer 04 Leverkusen
16733,Lee,Baxter,Lee Baxter,2016,678,lee-baxter,Sweden,Helsingborg,Scotland,1976-06-17,Goalkeeper,Goalkeeper,,186,,100000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/lee-baxter/profil/spieler/16733,DK1,Aarhus GF
16968,Marcel,de Jong,Marcel de Jong,2014,167,marcel-de-jong,Canada,"Newmarket, Ontario",Canada,1986-10-15,Left-Back,Defender,left,174,,1500000,,null,https://img.a.transfermarkt.technology/portrait/header/16968-1521278532.jpg?lm=1,https://www.transfermarkt.co.uk/marcel-de-jong/profil/spieler/16968,L1,FC Augsburg
17140,Mehmet,Topuz,Mehmet Topuz,2015,36,mehmet-topuz,Turkey,Yozgat,Turkey,1983-09-07,Right Midfield,Midfield,right,181,,8500000,,null,https://img.a.transfermarkt.technology/portrait/header/17140-1441144417.jpg?lm=1,https://www.transfermarkt.co.uk/mehmet-topuz/profil/spieler/17140,TR1,Fenerbahce
